gene_id,gene_symbol,gene_name,species
49016,BTG1,BTG anti-proliferation factor 1,Human
49017,BTG1P1,BTG anti-proliferation factor 1 pseudogene 1,Human
49018,BTG2,BTG anti-proliferation factor 2,Human
49019,BTG3,BTG anti-proliferation factor 3,Human
49020,BTG3-AS1,BTG3 antisense RNA 1,Human
49022,BTG4,BTG anti-proliferation factor 4,Human
49024,BTK,Bruton tyrosine kinase,Human
49025,BTLA,B and T lymphocyte associated,Human
49027,BTN1A1,butyrophilin subfamily 1 member A1,Human
49029,BTN2A1,butyrophilin subfamily 2 member A1,Human
49030,BTN2A2,butyrophilin subfamily 2 member A2,Human
49031,BTN2A3P,"butyrophilin subfamily 2 member A3, pseudogene",Human
49032,BTN3A1,butyrophilin subfamily 3 member A1,Human
49033,BTN3A2,butyrophilin subfamily 3 member A2,Human
49034,BTN3A3,butyrophilin subfamily 3 member A3,Human
49036,BTNL3,butyrophilin like 3,Human
49037,BTNL8,butyrophilin like 8,Human
49038,BTNL9,butyrophilin like 9,Human
49040,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,Human
49044,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,Human
49045,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,Human
49046,BUB1B-PAK6,BUB1B-PAK6 readthrough,Human
49049,BUB3,BUB3 mitotic checkpoint protein,Human
49051,BUD13,BUD13 homolog,Human
49052,BUD13P1,BUD13 homolog pseudogene 1,Human
49053,BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor,Human
49054,BUD31,BUD31 homolog,Human
49056,BUD31P2,BUD31 homolog pseudogene 2,Human
49057,BVES,blood vessel epicardial substance,Human
49063,BYSL,bystin like,Human
49065,BZW1,basic leucine zipper and W2 domains 1,Human
49066,BZW1P1,basic leucine zipper and W2 domains 1 pseudogene 1,Human
49067,BZW1P2,basic leucine zipper and W2 domains 1 pseudogene 2,Human
49068,BZW2,basic leucine zipper and W2 domains 2,Human
49069,C1D,C1D nuclear receptor corepressor,Human
49070,C1DP1,C1D nuclear receptor corepressor pseudogene 1,Human
49074,C1DP5,C1D nuclear receptor corepressor pseudogene 5,Human
49075,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",Human
49076,C1GALT1C1,C1GALT1 specific chaperone 1,Human
49078,C1GALT1P1,C1GALT1 pseudogene 1,Human
49079,C1GALT1P2,C1GALT1 pseudogene 2,Human
49089,C1orf21,chromosome 1 open reading frame 21,Human
49092,C1orf35,chromosome 1 open reading frame 35,Human
49093,C1orf43,chromosome 1 open reading frame 43,Human
49094,C1orf50,chromosome 1 open reading frame 50,Human
49095,C1orf52,chromosome 1 open reading frame 52,Human
49096,C1orf53,chromosome 1 open reading frame 53,Human
49097,C1orf54,chromosome 1 open reading frame 54,Human
49098,C1orf56,chromosome 1 open reading frame 56,Human
49099,C1orf61,chromosome 1 open reading frame 61,Human
49101,C1orf68,chromosome 1 open reading frame 68,Human
49102,C1orf74,chromosome 1 open reading frame 74,Human
49104,C1orf87,chromosome 1 open reading frame 87,Human
49105,C1orf94,chromosome 1 open reading frame 94,Human
49106,C1orf100,chromosome 1 open reading frame 100,Human
49107,C1orf105,chromosome 1 open reading frame 105,Human
49108,C1orf109,chromosome 1 open reading frame 109,Human
49109,C1orf112,chromosome 1 open reading frame 112,Human
49110,C1orf115,chromosome 1 open reading frame 115,Human
49111,C1orf116,chromosome 1 open reading frame 116,Human
49112,C1orf122,chromosome 1 open reading frame 122,Human
49113,C1orf127,chromosome 1 open reading frame 127,Human
49114,C1orf131,chromosome 1 open reading frame 131,Human
49119,C1orf141,chromosome 1 open reading frame 141,Human
49122,C1orf147,chromosome 1 open reading frame 147,Human
49123,C1orf158,chromosome 1 open reading frame 158,Human
49124,C1orf159,chromosome 1 open reading frame 159,Human
49125,C1orf162,chromosome 1 open reading frame 162,Human
49126,C1orf167,chromosome 1 open reading frame 167,Human
49127,C1orf174,chromosome 1 open reading frame 174,Human
49131,C1orf189,chromosome 1 open reading frame 189,Human
49134,C1orf195,chromosome 1 open reading frame 195,Human
49137,C1orf198,chromosome 1 open reading frame 198,Human
49138,C1orf210,chromosome 1 open reading frame 210,Human
49140,C1orf216,chromosome 1 open reading frame 216,Human
49142,C1orf220,chromosome 1 open reading frame 220 (putative),Human
49144,C1orf226,chromosome 1 open reading frame 226,Human
49145,C1orf229,chromosome 1 open reading frame 229,Human
49147,C1QA,complement C1q A chain,Human
49148,C1QB,complement C1q B chain,Human
49149,C1QBP,complement C1q binding protein,Human
49151,C1QBPP2,complement C1q binding protein pseudogene 2,Human
49153,C1QC,complement C1q C chain,Human
49154,C1QL1,complement C1q like 1,Human
49156,C1QL2,complement C1q like 2,Human
49157,C1QL3,complement C1q like 3,Human
49158,C1QL4,complement C1q like 4,Human
49159,C1QTNF1,C1q and TNF related 1,Human
49161,C1QTNF2,C1q and TNF related 2,Human
49162,C1QTNF3,C1q and TNF related 3,Human
49163,C1QTNF3-AMACR,C1QTNF3-AMACR readthrough (NMD candidate),Human
49164,C1QTNF4,C1q and TNF related 4,Human
49165,C1QTNF5,C1q and TNF related 5,Human
49166,C1QTNF6,C1q and TNF related 6,Human
49167,C1QTNF7,C1q and TNF related 7,Human
49169,C1QTNF9,C1q and TNF related 9,Human
49171,C1QTNF9B,C1q and TNF related 9B,Human
49172,C1QTNF12,C1q and TNF related 12,Human
49173,C1R,complement C1r,Human
49175,C1RL-AS1,C1RL antisense RNA 1,Human
49176,C1S,complement C1s,Human
49177,C2,complement C2,Human
49179,C2CD2,C2 calcium dependent domain containing 2,Human
49181,C2CD3,C2 calcium dependent domain containing 3,Human
49185,C2CD4D,C2 calcium dependent domain containing 4D,Human
49186,C2CD4D-AS1,C2CD4D and THEM5 antisense RNA 1,Human
49187,C2CD5,C2 calcium dependent domain containing 5,Human
49188,C2CD6,C2 calcium dependent domain containing 6,Human
49191,C2orf15,chromosome 2 open reading frame 15,Human
49192,C2orf16,chromosome 2 open reading frame 16,Human
49194,C2orf27A,chromosome 2 open reading frame 27A,Human
49200,C2orf40,chromosome 2 open reading frame 40,Human
49201,C2orf42,chromosome 2 open reading frame 42,Human
49202,C2orf48,chromosome 2 open reading frame 48,Human
49203,C2orf49,chromosome 2 open reading frame 49,Human
49204,C2orf50,chromosome 2 open reading frame 50,Human
49205,C2orf66,chromosome 2 open reading frame 66,Human
49206,C2orf68,chromosome 2 open reading frame 68,Human
49207,C2orf69,chromosome 2 open reading frame 69,Human
49214,C2orf72,chromosome 2 open reading frame 72,Human
49215,C2orf73,chromosome 2 open reading frame 73,Human
49216,C2orf74,chromosome 2 open reading frame 74,Human
49217,C2orf76,chromosome 2 open reading frame 76,Human
49218,C2orf78,chromosome 2 open reading frame 78,Human
49219,C2orf80,chromosome 2 open reading frame 80,Human
49220,C2orf81,chromosome 2 open reading frame 81,Human
49221,C2orf83,chromosome 2 open reading frame 83,Human
49222,C2orf88,chromosome 2 open reading frame 88,Human
49224,C2orf91,chromosome 2 open reading frame 91,Human
49225,C2orf92,chromosome 2 open reading frame 92,Human
49226,C3,complement C3,Human
49227,C3AR1,complement C3a receptor 1,Human
49230,C3orf14,chromosome 3 open reading frame 14,Human
49231,C3orf18,chromosome 3 open reading frame 18,Human
49232,C3orf20,chromosome 3 open reading frame 20,Human
49233,C3orf22,chromosome 3 open reading frame 22,Human
49234,C3orf33,chromosome 3 open reading frame 33,Human
49235,C3orf35,chromosome 3 open reading frame 35,Human
49237,C3orf38,chromosome 3 open reading frame 38,Human
49239,C3orf52,chromosome 3 open reading frame 52,Human
49242,C3orf62,chromosome 3 open reading frame 62,Human
49243,C3orf67,chromosome 3 open reading frame 67,Human
49245,C3orf70,chromosome 3 open reading frame 70,Human
49247,C3orf79,chromosome 3 open reading frame 79,Human
49248,C3orf80,chromosome 3 open reading frame 80,Human
49249,C3orf84,chromosome 3 open reading frame 84,Human
49250,C3orf85,chromosome 3 open reading frame 85,Human
49251,C3orf86,chromosome 3 open reading frame 86,Human
49252,C3P1,complement component 3 precursor pseudogene,Human
49253,C4A,complement C4A (Rodgers blood group),Human
49255,C4B,complement C4B (Chido blood group),Human
49258,C4BPA,complement component 4 binding protein alpha,Human
49262,C4BPB,complement component 4 binding protein beta,Human
49263,C4orf3,chromosome 4 open reading frame 3,Human
49264,C4orf17,chromosome 4 open reading frame 17,Human
49265,C4orf19,chromosome 4 open reading frame 19,Human
49266,C4orf33,chromosome 4 open reading frame 33,Human
49267,C4orf36,chromosome 4 open reading frame 36,Human
49268,C4orf45,chromosome 4 open reading frame 45,Human
49269,C4orf46,chromosome 4 open reading frame 46,Human
49270,C4orf47,chromosome 4 open reading frame 47,Human
49271,C4orf48,chromosome 4 open reading frame 48,Human
49272,C4orf50,chromosome 4 open reading frame 50,Human
49274,C4orf54,chromosome 4 open reading frame 54,Human
49275,C5,complement C5,Human
49277,C5AR1,complement C5a receptor 1,Human
49278,C5AR2,complement component 5a receptor 2,Human
49281,C5orf15,chromosome 5 open reading frame 15,Human
49282,C5orf17,chromosome 5 open reading frame 17 (putative),Human
49283,C5orf22,chromosome 5 open reading frame 22,Human
49285,C5orf24,chromosome 5 open reading frame 24,Human
49286,C5orf30,chromosome 5 open reading frame 30,Human
49287,C5orf34,chromosome 5 open reading frame 34,Human
49288,C5orf38,chromosome 5 open reading frame 38,Human
49289,C5orf46,chromosome 5 open reading frame 46,Human
49290,C5orf47,chromosome 5 open reading frame 47,Human
49291,C5orf49,chromosome 5 open reading frame 49,Human
49292,C5orf51,chromosome 5 open reading frame 51,Human
49294,C5orf56,chromosome 5 open reading frame 56,Human
49295,C5orf58,chromosome 5 open reading frame 58,Human
49296,C5orf60,chromosome 5 open reading frame 60,Human
49297,C5orf63,chromosome 5 open reading frame 63,Human
49298,C5orf64,chromosome 5 open reading frame 64,Human
49300,C5orf66,chromosome 5 open reading frame 66,Human
49302,C5orf66-AS2,C5orf66 antisense RNA 2,Human
49303,C5orf67,chromosome 5 open reading frame 67,Human
49304,C6,complement C6,Human
49321,C6orf52,chromosome 6 open reading frame 52,Human
49322,C6orf58,chromosome 6 open reading frame 58,Human
49324,C6orf62,chromosome 6 open reading frame 62,Human
49325,C6orf89,chromosome 6 open reading frame 89,Human
49329,C6orf99,chromosome 6 open reading frame 99,Human
49333,C6orf120,chromosome 6 open reading frame 120,Human
49335,C6orf132,chromosome 6 open reading frame 132,Human
49336,C6orf136,chromosome 6 open reading frame 136,Human
49337,C6orf141,chromosome 6 open reading frame 141,Human
49341,C6orf163,chromosome 6 open reading frame 163,Human
49351,C6orf201,chromosome 6 open reading frame 201,Human
49353,C6orf203,chromosome 6 open reading frame 203,Human
49357,C6orf222,chromosome 6 open reading frame 222,Human
49358,C6orf223,chromosome 6 open reading frame 223,Human
49360,C6orf226,chromosome 6 open reading frame 226,Human
49361,C7,complement C7,Human
49366,C7orf25,chromosome 7 open reading frame 25,Human
49367,C7orf26,chromosome 7 open reading frame 26,Human
49368,C7orf31,chromosome 7 open reading frame 31,Human
49369,C7orf33,chromosome 7 open reading frame 33,Human
49370,C7orf50,chromosome 7 open reading frame 50,Human
49371,C7orf57,chromosome 7 open reading frame 57,Human
49372,C7orf61,chromosome 7 open reading frame 61,Human
49373,C7orf65,chromosome 7 open reading frame 65,Human
49375,C7orf69,chromosome 7 open reading frame 69,Human
49376,C7orf71,chromosome 7 open reading frame 71,Human
49379,C8A,complement C8 alpha chain,Human
49380,C8B,complement C8 beta chain,Human
49381,C8G,complement C8 gamma chain,Human
49392,C8orf31,chromosome 8 open reading frame 31,Human
49393,C8orf33,chromosome 8 open reading frame 33,Human
49394,C8orf34,chromosome 8 open reading frame 34,Human
49395,C8orf34-AS1,C8orf34 antisense RNA 1,Human
49396,C8orf37,chromosome 8 open reading frame 37,Human
49397,C8orf37-AS1,C8orf37 antisense RNA 1,Human
49398,C8orf44,chromosome 8 open reading frame 44,Human
49400,C8orf48,chromosome 8 open reading frame 48,Human
49403,C8orf58,chromosome 8 open reading frame 58,Human
49412,C8orf76,chromosome 8 open reading frame 76,Human
49413,C8orf82,chromosome 8 open reading frame 82,Human
49414,C8orf86,chromosome 8 open reading frame 86,Human
49416,C8orf88,chromosome 8 open reading frame 88,Human
49417,C8orf89,chromosome 8 open reading frame 89,Human
49418,C9,complement C9,Human
49422,C9orf16,chromosome 9 open reading frame 16,Human
49423,C9orf24,chromosome 9 open reading frame 24,Human
49427,C9orf40,chromosome 9 open reading frame 40,Human
49428,C9orf43,chromosome 9 open reading frame 43,Human
49429,C9orf47,chromosome 9 open reading frame 47,Human
49431,C9orf50,chromosome 9 open reading frame 50,Human
49434,C9orf57,chromosome 9 open reading frame 57,Human
49437,C9orf64,chromosome 9 open reading frame 64,Human
49438,C9orf66,chromosome 9 open reading frame 66,Human
49439,C9orf72,C9orf72-SMCR8 complex subunit,Human
49440,C9orf78,chromosome 9 open reading frame 78,Human
49441,C9orf85,chromosome 9 open reading frame 85,Human
49446,C9orf106,chromosome 9 open reading frame 106 (putative),Human
49449,C9orf116,chromosome 9 open reading frame 116,Human
49451,C9orf129,chromosome 9 open reading frame 129,Human
49452,C9orf131,chromosome 9 open reading frame 131,Human
49455,C9orf139,chromosome 9 open reading frame 139,Human
49456,C9orf147,chromosome 9 open reading frame 147,Human
49459,C9orf152,chromosome 9 open reading frame 152,Human
49460,C9orf153,chromosome 9 open reading frame 153,Human
49462,C9orf163,chromosome 9 open reading frame 163,Human
49464,C9orf170,chromosome 9 open reading frame 170,Human
49468,C10orf25,chromosome 10 open reading frame 25,Human
49470,C10orf53,chromosome 10 open reading frame 53,Human
49471,C10orf55,chromosome 10 open reading frame 55,Human
49474,C10orf67,chromosome 10 open reading frame 67,Human
49476,C10orf71,chromosome 10 open reading frame 71,Human
49478,C10orf82,chromosome 10 open reading frame 82,Human
49479,C10orf88,chromosome 10 open reading frame 88,Human
49480,C10orf90,chromosome 10 open reading frame 90,Human
49481,C10orf91,chromosome 10 open reading frame 91 (putative),Human
49483,C10orf95,chromosome 10 open reading frame 95,Human
49486,C10orf105,chromosome 10 open reading frame 105,Human
49487,C10orf113,chromosome 10 open reading frame 113,Human
49496,C10orf143,chromosome 10 open reading frame 143,Human
49497,C11orf1,chromosome 11 open reading frame 1,Human
49501,C11orf21,chromosome 11 open reading frame 21,Human
49502,C11orf24,chromosome 11 open reading frame 24,Human
49509,C11orf44,chromosome 11 open reading frame 44,Human
49510,C11orf45,chromosome 11 open reading frame 45,Human
49512,C11orf49,chromosome 11 open reading frame 49,Human
49513,C11orf52,chromosome 11 open reading frame 52,Human
49514,C11orf53,chromosome 11 open reading frame 53,Human
49515,C11orf54,chromosome 11 open reading frame 54,Human
49516,C11orf58,chromosome 11 open reading frame 58,Human
49518,C11orf65,chromosome 11 open reading frame 65,Human
49519,C11orf68,chromosome 11 open reading frame 68,Human
49521,C11orf71,chromosome 11 open reading frame 71,Human
49522,C11orf72,chromosome 11 open reading frame 72 (putative),Human
49523,C11orf74,chromosome 11 open reading frame 74,Human
49524,C11orf80,chromosome 11 open reading frame 80,Human
49526,C11orf86,chromosome 11 open reading frame 86,Human
49527,C11orf87,chromosome 11 open reading frame 87,Human
49528,C11orf88,chromosome 11 open reading frame 88,Human
49529,C11orf91,chromosome 11 open reading frame 91,Human
49530,C11orf94,chromosome 11 open reading frame 94,Human
49531,C11orf95,chromosome 11 open reading frame 95,Human
49532,C11orf96,chromosome 11 open reading frame 96,Human
49534,C11orf98,chromosome 11 open reading frame 98,Human
49537,C12orf4,chromosome 12 open reading frame 4,Human
49539,C12orf10,chromosome 12 open reading frame 10,Human
49541,C12orf29,chromosome 12 open reading frame 29,Human
49542,C12orf40,chromosome 12 open reading frame 40,Human
49543,C12orf42,chromosome 12 open reading frame 42,Human
49544,C12orf43,chromosome 12 open reading frame 43,Human
49545,C12orf45,chromosome 12 open reading frame 45,Human
49546,C12orf49,chromosome 12 open reading frame 49,Human
49547,C12orf50,chromosome 12 open reading frame 50,Human
49548,C12orf54,chromosome 12 open reading frame 54,Human
49549,C12orf56,chromosome 12 open reading frame 56,Human
49550,C12orf57,chromosome 12 open reading frame 57,Human
49551,C12orf60,chromosome 12 open reading frame 60,Human
49553,C12orf65,chromosome 12 open reading frame 65,Human
49554,C12orf66,chromosome 12 open reading frame 66,Human
49556,C12orf73,chromosome 12 open reading frame 73,Human
49557,C12orf74,chromosome 12 open reading frame 74,Human
49558,C12orf75,chromosome 12 open reading frame 75,Human
49559,C12orf76,chromosome 12 open reading frame 76,Human
49560,C12orf77,chromosome 12 open reading frame 77,Human
49561,C12orf80,chromosome 12 open reading frame 80,Human
49562,C12orf81,chromosome 12 open reading frame 81,Human
49564,C13orf42,chromosome 13 open reading frame 42,Human
49565,C13orf46,chromosome 13 open reading frame 46,Human
49568,C14orf28,chromosome 14 open reading frame 28,Human
49585,C14orf93,chromosome 14 open reading frame 93,Human
49591,C14orf119,chromosome 14 open reading frame 119,Human
49592,C14orf132,chromosome 14 open reading frame 132,Human
49597,C14orf177,chromosome 14 open reading frame 177,Human
49598,C14orf178,chromosome 14 open reading frame 178,Human
49605,C15orf32,chromosome 15 open reading frame 32,Human
49607,C15orf39,chromosome 15 open reading frame 39,Human
49608,C15orf40,chromosome 15 open reading frame 40,Human
49609,C15orf41,chromosome 15 open reading frame 41,Human
49611,C15orf48,chromosome 15 open reading frame 48,Human
49614,C15orf53,chromosome 15 open reading frame 53,Human
49615,C15orf54,chromosome 15 open reading frame 54 (putative),Human
49616,C15orf56,chromosome 15 open reading frame 56,Human
49617,C15orf61,chromosome 15 open reading frame 61,Human
49618,C15orf62,chromosome 15 open reading frame 62,Human
49619,C15orf65,chromosome 15 open reading frame 65,Human
49639,C16orf46,chromosome 16 open reading frame 46,Human
49641,C16orf54,chromosome 16 open reading frame 54,Human
49642,C16orf58,chromosome 16 open reading frame 58,Human
49643,C16orf70,chromosome 16 open reading frame 70,Human
49644,C16orf71,chromosome 16 open reading frame 71,Human
49645,C16orf72,chromosome 16 open reading frame 72,Human
49646,C16orf74,chromosome 16 open reading frame 74,Human
49649,C16orf86,chromosome 16 open reading frame 86,Human
49650,C16orf87,chromosome 16 open reading frame 87,Human
49651,C16orf89,chromosome 16 open reading frame 89,Human
49652,C16orf90,chromosome 16 open reading frame 90,Human
49653,C16orf91,chromosome 16 open reading frame 91,Human
49655,C16orf95,chromosome 16 open reading frame 95,Human
49656,C16orf96,chromosome 16 open reading frame 96,Human
49681,C17orf49,chromosome 17 open reading frame 49,Human
49682,C17orf50,chromosome 17 open reading frame 50,Human
49683,C17orf51,chromosome 17 open reading frame 51,Human
49684,C17orf53,chromosome 17 open reading frame 53,Human
49685,C17orf58,chromosome 17 open reading frame 58,Human
49686,C17orf64,chromosome 17 open reading frame 64,Human
49687,C17orf67,chromosome 17 open reading frame 67,Human
49688,C17orf75,chromosome 17 open reading frame 75,Human
49691,C17orf80,chromosome 17 open reading frame 80,Human
49692,C17orf82,chromosome 17 open reading frame 82,Human
49694,C17orf97,chromosome 17 open reading frame 97,Human
49695,C17orf98,chromosome 17 open reading frame 98,Human
49696,C17orf99,chromosome 17 open reading frame 99,Human
49697,C17orf100,chromosome 17 open reading frame 100,Human
49698,C17orf102,chromosome 17 open reading frame 102,Human
49699,C17orf107,chromosome 17 open reading frame 107,Human
49701,C17orf113,chromosome 17 open reading frame 113,Human
49703,C18orf12,chromosome 18 open reading frame 12,Human
49704,C18orf15,chromosome 18 open reading frame 15 (putative),Human
49705,C18orf21,chromosome 18 open reading frame 21,Human
49706,C18orf25,chromosome 18 open reading frame 25,Human
49707,C18orf32,chromosome 18 open reading frame 32,Human
49712,C18orf54,chromosome 18 open reading frame 54,Human
49717,C18orf65,chromosome 18 open reading frame 65,Human
49720,C19orf12,chromosome 19 open reading frame 12,Human
49722,C19orf18,chromosome 19 open reading frame 18,Human
49723,C19orf24,chromosome 19 open reading frame 24,Human
49724,C19orf25,chromosome 19 open reading frame 25,Human
49726,C19orf33,chromosome 19 open reading frame 33,Human
49727,C19orf38,chromosome 19 open reading frame 38,Human
49728,C19orf44,chromosome 19 open reading frame 44,Human
49729,C19orf47,chromosome 19 open reading frame 47,Human
49730,C19orf48,chromosome 19 open reading frame 48,Human
49732,C19orf53,chromosome 19 open reading frame 53,Human
49733,C19orf54,chromosome 19 open reading frame 54,Human
49734,C19orf57,chromosome 19 open reading frame 57,Human
49736,C19orf66,chromosome 19 open reading frame 66,Human
49737,C19orf67,chromosome 19 open reading frame 67,Human
49738,C19orf71,chromosome 19 open reading frame 71,Human
49739,C19orf73,chromosome 19 open reading frame 73,Human
49740,C19orf81,chromosome 19 open reading frame 81,Human
49741,C19orf84,chromosome 19 open reading frame 84,Human
49747,C20orf27,chromosome 20 open reading frame 27,Human
49757,C20orf96,chromosome 20 open reading frame 96,Human
49763,C20orf144,chromosome 20 open reading frame 144,Human
49777,C20orf194,chromosome 20 open reading frame 194,Human
49778,C20orf197,chromosome 20 open reading frame 197,Human
49779,C20orf202,chromosome 20 open reading frame 202,Human
49780,C20orf203,chromosome 20 open reading frame 203,Human
49781,C20orf204,chromosome 20 open reading frame 204,Human
49799,C21orf58,chromosome 21 open reading frame 58,Human
49802,C21orf62-AS1,C21orf62 antisense RNA 1,Human
49812,C21orf91,chromosome 21 open reading frame 91,Human
49813,C21orf91-OT1,C21orf91 overlapping transcript 1,Human
49830,C22orf15,chromosome 22 open reading frame 15,Human
49832,C22orf23,chromosome 22 open reading frame 23,Human
49833,C22orf24,chromosome 22 open reading frame 24,Human
49834,C22orf31,chromosome 22 open reading frame 31,Human
49835,C22orf34,chromosome 22 open reading frame 34,Human
49837,C22orf39,chromosome 22 open reading frame 39,Human
49838,C22orf42,chromosome 22 open reading frame 42,Human
49839,C22orf46,chromosome 22 open reading frame 46,Human
49840,CA1,carbonic anhydrase 1,Human
49841,CA2,carbonic anhydrase 2,Human
49842,CA3,carbonic anhydrase 3,Human
49843,CA3-AS1,CA3 antisense RNA 1,Human
49844,CA4,carbonic anhydrase 4,Human
49846,CA5A,carbonic anhydrase 5A,Human
49847,CA5AP1,carbonic anhydrase 5A pseudogene 1,Human
49848,CA5B,carbonic anhydrase 5B,Human
49850,CA5BP1,carbonic anhydrase 5B pseudogene 1,Human
49851,CA6,carbonic anhydrase 6,Human
49852,CA7,carbonic anhydrase 7,Human
49853,CA8,carbonic anhydrase 8,Human
49854,CA9,carbonic anhydrase 9,Human
49855,CA10,carbonic anhydrase 10,Human
49856,CA11,carbonic anhydrase 11,Human
49857,CA12,carbonic anhydrase 12,Human
49858,CA13,carbonic anhydrase 13,Human
49859,CA14,carbonic anhydrase 14,Human
49860,CA15P1,CA15 pseudogene 1,Human
49863,CAAP1,caspase activity and apoptosis inhibitor 1,Human
49864,CAB39,calcium binding protein 39,Human
49865,CAB39L,calcium binding protein 39 like,Human
49867,CABCOCO1,ciliary associated calcium binding coiled-coil 1,Human
49868,CABIN1,calcineurin binding protein 1,Human
49869,CABLES1,Cdk5 and Abl enzyme substrate 1,Human
49871,CABLES2,Cdk5 and Abl enzyme substrate 2,Human
49872,CABP1,calcium binding protein 1,Human
49875,CABP4,calcium binding protein 4,Human
49876,CABP5,calcium binding protein 5,Human
49877,CABP7,calcium binding protein 7,Human
49879,CABYR,calcium binding tyrosine phosphorylation regulated,Human
49880,CABYRP1,calcium binding tyrosine phosphorylation regulated pseudogene 1,Human
49882,CACFD1,calcium channel flower domain containing 1,Human
49883,CACHD1,cache domain containing 1,Human
49884,CACNA1A,calcium voltage-gated channel subunit alpha1 A,Human
49885,CACNA1B,calcium voltage-gated channel subunit alpha1 B,Human
49886,CACNA1C,calcium voltage-gated channel subunit alpha1 C,Human
49887,CACNA1C-AS1,CACNA1C antisense RNA 1,Human
49888,CACNA1C-AS2,CACNA1C antisense RNA 2,Human
49894,CACNA1D,calcium voltage-gated channel subunit alpha1 D,Human
49895,CACNA1E,calcium voltage-gated channel subunit alpha1 E,Human
49896,CACNA1F,calcium voltage-gated channel subunit alpha1 F,Human
49897,CACNA1G,calcium voltage-gated channel subunit alpha1 G,Human
49898,CACNA1G-AS1,CACNA1G antisense RNA 1,Human
49900,CACNA1I,calcium voltage-gated channel subunit alpha1 I,Human
49903,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,Human
49904,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2,Human
49905,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,Human
49907,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,Human
49908,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,Human
49909,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,Human
49910,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3,Human
49911,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,Human
49912,CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1,Human
49915,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4,Human
49917,CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6,Human
49919,CACNG8,calcium voltage-gated channel auxiliary subunit gamma 8,Human
49932,CACTIN,"cactin, spliceosome C complex subunit",Human
49933,CACTIN-AS1,CACTIN antisense RNA 1,Human
49935,CACUL1,CDK2 associated cullin domain 1,Human
49937,CACYBP,calcyclin binding protein,Human
49939,CACYBPP2,calcyclin binding protein pseudogene 2,Human
49941,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Human
49943,CADM1,cell adhesion molecule 1,Human
49944,CADM2,cell adhesion molecule 2,Human
49947,CADM3,cell adhesion molecule 3,Human
49948,CADM3-AS1,CADM3 antisense RNA 1,Human
49949,CADM4,cell adhesion molecule 4,Human
49950,CADPS,calcium dependent secretion activator,Human
49951,CADPS2,calcium dependent secretion activator 2,Human
49956,CAGE1,cancer antigen 1,Human
49957,CAHM,colon adenocarcinoma hypermethylated,Human
49961,CALB1,calbindin 1,Human
49962,CALB2,calbindin 2,Human
49963,CALCA,calcitonin related polypeptide alpha,Human
49965,CALCOCO1,calcium binding and coiled-coil domain 1,Human
49968,CALCR,calcitonin receptor,Human
49969,CALCRL,calcitonin receptor like receptor,Human
49970,CALD1,caldesmon 1,Human
49971,CALHM1,calcium homeostasis modulator 1,Human
49972,CALHM2,calcium homeostasis modulator family member 2,Human
49973,CALHM3,calcium homeostasis modulator 3,Human
49975,CALHM5,calcium homeostasis modulator family member 5,Human
49976,CALHM6,calcium homeostasis modulator family member 6,Human
49977,CALM1,calmodulin 1,Human
49980,CALM2,calmodulin 2,Human
49981,CALM2P1,calmodulin 2 pseudogene 1,Human
49982,CALM2P2,calmodulin 2 pseudogene 2,Human
49983,CALM2P3,calmodulin 2 pseudogene 3,Human
49985,CALM3,calmodulin 3,Human
49989,CALML3-AS1,CALML3 antisense RNA 1,Human
49990,CALML4,calmodulin like 4,Human
49992,CALML6,calmodulin like 6,Human
49993,CALN1,calneuron 1,Human
49996,CALR,calreticulin,Human
49998,CALR4P,"calreticulin 4, pseudogene",Human
50001,CALU,calumenin,Human
50002,CALY,calcyon neuron specific vesicular protein,Human
50003,CAMK1,calcium/calmodulin dependent protein kinase I,Human
50004,CAMK1D,calcium/calmodulin dependent protein kinase ID,Human
50005,CAMK1G,calcium/calmodulin dependent protein kinase IG,Human
50006,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,Human
50007,CAMK2B,calcium/calmodulin dependent protein kinase II beta,Human
50008,CAMK2D,calcium/calmodulin dependent protein kinase II delta,Human
50009,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,Human
50010,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,Human
